"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20850";"MASSARANDUBA";"20850";"MASSARANDUBA";16;11;"Prefeito";11458;33;1;0;34;9844;0;1614;"N";9844;9037;9037;9037;0;0;0;0;0;0;0;0;0;205;602;602;0;0;"22:30:01";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21172";"PATOS";"21172";"PATOS";28;11;"Prefeito";63933;207;40;0;247;53164;0;10769;"N";53164;49206;49206;49206;0;0;0;0;0;0;0;0;0;1129;2829;2829;0;0;"21:44:18";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19780";"BARRA DE SANTANA";"19780";"BARRA DE SANTANA";49;11;"Prefeito";7220;22;6;0;28;6311;0;909;"N";6311;5935;5935;5935;0;0;0;0;0;0;0;0;0;93;283;283;0;0;"21:45:13";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21130";"OURO VELHO";"21130";"OURO VELHO";43;11;"Prefeito";2726;6;6;0;12;2474;0;252;"N";2474;2360;2360;2360;0;0;0;0;0;0;0;0;0;32;82;82;0;0;"21:44:44";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19488";"MATO GROSSO";"19488";"MATO GROSSO";36;11;"Prefeito";3078;9;0;0;9;2900;0;178;"N";2900;2841;2841;2841;0;0;0;0;0;0;0;0;0;13;46;46;0;0;"21:47:29";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19259";"AROEIRAS";"19259";"AROEIRAS";49;11;"Prefeito";15149;44;9;0;53;13128;0;2021;"N";13128;10553;5905;5905;0;0;0;0;0;0;4648;0;0;267;2308;531;1777;0;"12:10:00";"30/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19119";"ALHANDRA";"19119";"ALHANDRA";73;11;"Prefeito";17736;51;0;0;51;15523;0;2213;"N";15523;14654;14654;14654;0;0;0;0;0;0;0;0;0;179;690;690;0;0;"21:46:00";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20974";"MULUNGU";"20974";"MULUNGU";75;11;"Prefeito";8625;28;10;0;38;7638;0;987;"N";7638;7323;7323;7323;0;0;0;0;0;0;0;0;0;89;226;226;0;0;"21:44:05";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19291";"BAÍA DA TRAIÇÃO";"19291";"BAÍA DA TRAIÇÃO";55;11;"Prefeito";7074;21;0;0;21;6412;0;662;"N";6412;6155;6155;6155;0;0;0;0;0;0;0;0;0;66;191;191;0;0;"21:46:37";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20230";"FAGUNDES";"20230";"FAGUNDES";59;11;"Prefeito";9597;25;11;0;36;8025;0;1572;"N";8025;7541;7541;7541;0;0;0;0;0;0;0;0;0;111;373;373;0;0;"21:59:29";"15/11/2020"
